-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0.00452	3791	0	3	0	13	892	337	855	214	162	128	246	101	168	86	108	198	280
0.00546	1437	3	1	1	18	29	57	143	52	105	101	64	117	55	289	105	220	77
0.00997	2628	2	7	28	218	188	280	178	472	129	253	77	197	207	75	138	131	48
0.01296	2002	3	2	3	29	43	5	174	158	268	192	150	157	111	123	270	132	182
0.00581	2409	1	0	4	19	12	91	61	121	200	169	226	542	308	130	151	138	236
0.00652	1999	1	0	10	21	101	60	98	92	133	68	96	130	472	153	211	162	191
0.00459	4213	21	8	10	294	153	318	683	182	311	129	182	638	238	147	129	310	460
0.00133	1942	2	3	0	288	81	10	121	49	104	75	154	110	244	108	21	93	479
0.00491	7977	16	109	23	316	1805	616	418	356	484	460	512	421	446	519	234	662	580
0.01361	6319	60	3	9	968	421	1306	736	292	441	244	232	223	162	152	57	149	864
0.00469	1170	16	8	10	70	27	43	96	50	128	60	104	84	45	53	58	213	105
0.00768	11820	3	31	65	2668	2587	2669	692	510	566	320	267	296	59	56	182	654	195
0.01209	1114	0	2	5	124	143	149	63	82	78	34	101	49	29	24	39	117	75
0.00543	1045	0	13	0	11	40	57	92	71	66	119	40	74	57	25	56	230	94
0.005	3447	1	18	4	308	182	530	230	479	257	119	111	244	78	154	52	392	288
0.0067	4687	2	3	4	468	303	245	619	241	227	292	208	203	359	289	165	465	594
0.00362	2189	16	5	15	92	153	263	194	474	232	93	102	85	96	49	86	144	90
0.0046	3918	24	176	12	147	84	846	266	459	136	137	97	176	635	152	148	276	147
0.02024	1506	10	0	23	43	28	115	304	96	102	79	78	199	74	63	71	145	76
0.0101	854	2	2	42	11	16	11	39	42	48	60	22	172	187	42	51	63	44
0.00823	24508	8	2	2	2	59	125	395	1492	4429	2770	2601	2107	2065	1439	1871	1580	3561
0.00584	4762	0	3	0	170	132	339	77	538	594	367	696	276	1040	126	74	264	66
0.00808	6618	1	11	14	38	302	401	654	1153	788	525	553	430	605	207	168	478	290
0.00396	2339	0	8	1	37	23	40	87	42	207	424	407	94	129	106	211	253	270
0.03434	340	0	2	3	8	8	3	27	13	27	25	14	23	44	35	17	39	52
0.00205	1242	0	0	0	30	22	301	179	59	108	32	0	321	15	2	68	33	72
0.00907	1412	0	32	2	14	15	6	161	87	191	159	150	91	66	85	91	93	169
0.00784	11867	60	19	45	266	705	677	2120	2131	2593	803	434	316	453	99	192	435	519
0.00868	1646	0	0	0	49	15	111	191	117	50	79	58	65	85	30	48	305	443
0.01055	1151	2	0	6	96	41	111	211	69	60	31	34	128	137	84	16	66	59
0.0049	1008	0	0	0	42	19	5	35	20	83	47	23	26	35	125	206	83	259
0.00993	1640	0	1	1	10	9	73	66	139	105	101	139	132	171	79	93	179	342
0.01356	4074	29	7	9	151	210	509	240	114	494	288	231	178	275	68	151	540	580
0.03249	1334	1	12	0	4	19	30	114	71	146	73	85	108	177	126	104	149	115
0.0047	1582	0	3	19	16	250	65	23	41	75	30	38	20	84	51	306	194	367
0.00539	2115	3	8	10	130	40	88	88	369	547	215	185	47	42	26	84	118	115
0.0103	5312	0	4	4	34	126	1271	503	444	144	259	333	554	327	188	185	489	447
0.00653	5584	7	3	7	378	434	864	1106	460	310	209	204	233	309	254	100	151	555
0.0101	3315	1	1	8	195	86	245	348	362	163	171	132	203	412	125	185	151	527
0.01023	1364	0	0	4	25	27	352	107	116	143	38	89	84	87	69	87	100	36
0.01039	1772	1	0	1	11	169	226	50	314	216	256	61	36	58	60	148	131	34
0.00611	2273	0	0	2	46	101	92	77	248	162	106	155	110	133	347	249	174	271
0.01951	922	0	1	1	33	17	4	55	77	35	37	39	15	17	24	40	89	438
0.00252	1998	3	0	5	54	134	338	56	66	116	60	104	181	140	101	138	126	376
0.01288	888	1	0	4	62	37	167	36	33	123	88	73	86	8	31	6	78	55
0.00858	501	0	3	1	5	5	25	36	18	68	88	6	25	44	40	39	70	28
0.04789	481	1	3	4	23	27	9	23	14	45	24	45	22	34	39	35	87	46
0.00634	3918	416	276	263	320	211	311	307	385	691	99	39	149	32	55	47	179	138
0.00795	8820	1	18	491	1242	1194	156	482	331	496	169	218	483	861	592	549	1125	412
0.0097	650	0	3	1	2	4	33	60	24	50	115	42	25	65	60	28	52	86
0.00312	4914	13	1	15	741	457	203	502	147	241	126	399	268	548	247	63	168	775
0.01123	8647	5	34	0	54	95	466	81	80	504	185	150	315	400	666	1527	2023	2062
0.00872	7498	11	44	22	189	123	1823	669	946	1151	458	830	276	163	124	106	188	375
0.00684	6693	0	18	43	184	660	534	1744	1345	245	179	181	208	297	96	321	210	428
0.00197	669	1	0	1	0	78	106	72	40	54	27	7	23	4	57	14	133	52
0.01149	1301	3	5	0	25	4	13	48	48	554	44	33	18	32	29	208	157	80
0.00938	773	37	2	0	44	29	57	163	41	83	32	25	44	27	54	41	69	25
0.00855	1345	0	3	19	45	30	52	147	75	155	69	40	68	101	143	119	164	115
0.00508	4237	5	70	77	590	140	82	211	143	470	128	101	311	211	374	40	463	821
0.0098	2540	2	69	12	53	86	235	189	928	157	60	51	100	125	173	67	171	62
0.0087	13363	0	19	0	46	22	75	208	927	1918	2534	926	1940	1474	673	324	825	1452
0.00787	3503	18	63	70	430	737	163	553	300	583	144	80	71	44	48	77	85	37
0.00492	9021	16	0	3	307	69	85	263	1075	333	721	491	395	408	1158	681	1149	1867
0.01418	1188	1	16	7	56	40	129	189	140	149	77	55	81	53	26	68	61	40
0.00701	4343	3	36	187	315	78	413	352	613	396	246	155	194	470	158	207	275	245
0.01106	2311	1	1	11	204	92	277	190	244	187	115	170	66	90	39	28	198	398
0.00282	4788	12	7	6	1217	704	41	118	42	151	80	182	179	210	122	109	69	1539
0.01634	2635	0	11	7	121	43	457	319	254	380	65	103	44	96	89	56	299	291
0.01014	2767	0	0	9	3	20	74	1088	55	162	62	66	320	128	70	48	261	401
0.00546	10738	1	82	148	316	176	110	209	1333	1197	671	584	487	238	643	1754	637	2152
0.00446	4590	2	6	5	48	23	35	76	231	541	311	276	193	701	675	233	703	531
0.0034	2462	6	1	155	36	95	43	136	267	228	236	109	113	171	74	63	378	351
0.00454	5143	46	807	247	430	233	212	346	391	654	272	328	199	168	137	176	439	58
0.01194	2869	0	1	9	54	130	197	121	491	491	213	163	265	113	119	71	148	283
0.0051	7288	15	6	169	62	75	412	598	642	1602	2512	125	117	186	80	247	278	162
0.00296	5505	38	51	44	235	485	266	298	307	365	241	482	425	564	564	173	373	594
0.0041	4061	0	2	2	71	49	380	774	366	805	177	142	80	146	159	221	318	369
0.0114	1653	1	3	4	2	15	48	24	229	108	91	88	176	157	168	134	219	186
0.01946	948	1	0	3	32	14	47	25	42	50	153	97	71	66	79	33	152	83
0.01208	3414	1	5	4	8	15	68	111	287	351	251	458	308	218	289	240	256	544
0.00524	8389	7	12	106	168	170	218	531	791	1101	476	301	3004	364	256	136	244	504
0.0079	1276	52	2	17	40	28	32	161	101	173	100	45	50	209	48	39	116	63
0.00534	2143	14	36	0	57	89	104	48	96	65	65	24	55	280	63	290	670	187
0.01644	3293	6	11	20	86	167	104	196	284	106	80	124	198	505	151	230	798	227
0.01043	6229	0	180	35	32	254	239	553	691	919	698	396	309	343	239	299	419	623
0.0042	3119	0	1	212	153	195	159	331	127	93	54	209	122	230	144	274	478	337
0.00491	801	0	0	2	17	20	17	16	98	118	42	75	52	76	16	92	63	97
0.01683	429	0	1	0	0	3	11	8	12	39	56	25	36	16	36	46	87	53
0.00659	1455	0	0	0	67	17	10	56	212	137	38	23	32	288	177	75	83	240
0.00325	1482	0	0	11	120	185	60	77	137	122	89	52	81	121	97	69	144	117
0.01362	1921	0	0	1	33	25	78	62	101	263	135	61	596	95	185	51	145	90
0.01262	4554	7	1	1	125	40	225	315	586	408	240	188	426	415	297	459	269	552
0.01974	1416	0	0	1	8	2	4	35	43	135	69	116	40	22	12	73	154	702
0.0256	4642	0	29	39	211	256	144	258	355	635	387	394	484	359	331	152	322	286
0.01076	2839	1	2	1	70	86	146	369	721	172	130	68	174	285	163	132	87	232
0.01147	1488	11	0	6	24	17	247	29	35	352	20	53	93	39	30	251	194	87
0.00687	1856	3	3	14	278	16	100	182	262	103	37	93	102	109	82	95	108	269
0.00632	18058	5	11	9	68	67	246	842	947	1782	1281	1599	2397	2217	1416	896	1980	2295
0.00897	16037	239	430	249	619	1303	2737	3421	1793	1968	343	190	376	854	242	183	411	679
0.00674	1658	1	5	5	33	54	563	107	93	55	86	60	112	162	76	48	116	82
0.00296	2763	31	5	3	138	244	121	374	117	164	143	92	247	147	215	102	227	393
0.00789	4504	73	75	54	144	580	601	677	339	759	233	87	150	144	82	84	270	152
0.01058	9686	5	0	61	29	32	57	918	2384	2235	958	728	781	340	186	241	448	283
